"","caseid","V1","V2","V3","V4","V5","V6","V7"
"122","20160101161850","33","02","Full time","01","480","0","75"
"123","20160101161856","65","02","Full time","01","781","0","462"
"124","20160101161858","23","02","Full time","01","720","60","0"
"125","20160101161862","44","02","Full time","01","630","0","480"
"126","20160101161870","37","02","Part time","01","590","0","0"
"127","20160101161873","76","02","No answer","01","505","0","195"
"128","20160101161883","26","02","No answer","01","485","0","150"
"129","20160101161891","51","01","Full time","01","690","0","566"
"130","20160101161903","29","01","Full time","01","550","0","0"
"131","20160101161907","57","02","No answer","02","930","0","355"
"132","20160101161943","22","02","Part time","01","495","0","30"
"133","20160101161965","53","01","Part time","02","465","0","360"
"134","20160101161971","53","01","Full time","01","530","0","180"
"135","20160101162013","52","02","Full time","01","595","0","221"
"136","20160101162014","72","01","No answer","01","420","0","935"
"137","20160101162031","34","02","Full time","01","815","0","120"
"138","20160101162041","50","01","Full time","01","510","0","60"
"139","20160101162059","53","02","Part time","01","570","0","440"
"140","20160101162067","63","02","No answer","01","460","0","90"
"141","20160101162086","57","02","No answer","02","435","0","290"
"142","20160101162123","17","01","No answer","01","480","60","315"
"143","20160101162130","65","02","No answer","02","510","0","430"
"144","20160101162133","36","02","Part time","01","495","0","288"
"145","20160101162164","58","01","No answer","02","450","0","846"
"146","20160101162166","58","02","No answer","02","525","0","375"
"147","20160101162200","47","01","Full time","01","495","0","30"
"148","20160101162217","41","02","Part time","01","570","0","265"
"149","20160101162218","30","02","Part time","01","690","0","190"
"150","20160101162235","56","01","Full time","01","600","0","460"
"151","20160101162274","24","01","No answer","01","300","358","400"
"152","20160101162275","68","02","No answer","01","555","0","500"
"153","20160101162278","80","02","No answer","01","720","0","80"
"154","20160101162288","34","02","Part time","02","870","0","225"
"155","20160101162300","77","01","No answer","01","585","0","775"
"156","20160101162303","61","01","No answer","02","600","0","405"
"157","20160101162332","32","02","Full time","01","761","0","60"
"158","20160101162333","68","02","Full time","01","570","0","215"
"159","20160101162343","77","02","No answer","01","625","0","229"
"160","20160101162350","85","02","No answer","02","675","0","475"
"161","20160101162353","27","02","No answer","01","623","0","235"
"162","20160101162355","42","01","Full time","01","540","0","530"
"163","20160101162373","37","02","Full time","01","648","0","384"
"164","20160101162377","35","02","No answer","01","339","0","318"
"165","20160101162422","60","02","No answer","02","600","0","270"
"166","20160101162444","24","02","No answer","01","620","0","80"
"167","20160101162445","50","02","Full time","01","749","0","180"
"168","20160101162449","23","02","No answer","01","744","0","164"
"169","20160101162452","36","02","Full time","01","560","0","95"
"170","20160101162469","31","01","Full time","01","530","0","150"
"171","20160101162477","44","02","Full time","01","475","0","210"
"172","20160101162489","19","01","No answer","01","480","0","679"
"173","20160101162494","51","01","No answer","02","440","0","830"
"174","20160101162514","31","01","Full time","01","485","0","60"
"175","20160101162528","51","02","No answer","01","495","0","180"
"176","20160110150657","46","01","Full time","01","555","0","225"
"177","20160110150757","36","01","Full time","01","720","0","180"
"178","20160110150981","41","01","Full time","01","480","0","375"
"179","20160110151842","27","02","Full time","01","570","0","100"
"180","20160110151953","75","01","No answer","02","510","0","500"
"181","20160110152084","40","02","Full time","01","1018","0","0"
"182","20160110152307","26","02","No answer","01","590","0","180"
"183","20160110152390","51","02","Full time","01","570","0","350"
"184","20160110152460","18","01","No answer","01","570","0","726"
"185","20160111150030","23","02","Full time","01","824","0","55"
"186","20160111150034","77","01","No answer","01","720","0","540"
"187","20160111150058","62","02","Part time","01","525","0","60"
"188","20160111150076","36","02","Full time","01","450","0","120"
"189","20160111150119","21","01","No answer","01","510","0","520"
"190","20160111150131","48","01","Full time","01","660","0","360"
"191","20160111150139","37","02","No answer","01","960","0","120"
"192","20160111150145","25","02","Part time","01","765","0","150"
"193","20160111150160","79","02","No answer","01","423","0","32"
"194","20160111150503","40","02","Full time","01","540","0","0"
"195","20160111150511","44","01","Full time","01","430","0","45"
"196","20160111150522","39","01","Full time","01","720","0","281"
